Chart Order,Written,Posted,Section,Quest Chain/Category,Quest Title,Short Description,XP,Badge Prerequisites,Quest Prerequisites,Requires Approval,Topic,Embed Code,Quest Chain,Est. Time,Repeatable
34,TRUE,TRUE,Intermediate,Modeling,Back That Thang Up,Save your project and take a screenshot of it in the Finder.,30,,A Few Alterations,FALSE,"Saving, Restoring, Backups and Iterations",http://www.youtube.com/watch?v=DqCrAQehzQw&list=PL006307E237BB7FF6&index=4,Welcome,15,
35,TRUE,TRUE,Intermediate,Modeling,Loop and Slide,Add a primitive and make it into a dinosaur using extrude and loop cuts.,40,,Back That Thang Up,FALSE,"Edit Mode, Extrude and Loop Cuts",http://www.youtube.com/watch?v=OszPcbecX50&list=PL006307E237BB7FF6&index=5,Welcome,30,
36,TRUE,TRUE,Intermediate,Modeling,Click In a Box,Create a simple model of a cartoon head.,50,,Loop and Slide,FALSE,Box Modeling 101,http://www.youtube.com/watch?v=tiz0slQmQTc&list=PL006307E237BB7FF6&index=6,Welcome,45,
37,TRUE,TRUE,Intermediate,Modeling,rorriM Mirror,Create a symmetrical object.,50,,Click In a Box,FALSE,Mirror Modifier,http://www.youtube.com/watch?v=y7ArlYDNi-A&list=PL006307E237BB7FF6&index=7,Welcome,45,
38,TRUE,TRUE,Intermediate,Modeling,Paint It Black,Create a multicolored cube.,50,,rorriM Mirror,FALSE,Adding Color and Materials,http://www.youtube.com/watch?v=rRdKj33Keec&list=PL006307E237BB7FF6&index=8,Welcome,45,
39,TRUE,TRUE,Intermediate,Modeling,X Marks The Spot,Create a .png UV map for a cube with six different-colored sides.,50,,Paint It Black,FALSE,UV Mapping,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/obB9T3jXlak"" frameborder=""0"" allowfullscreen></iframe>",Welcome,30,
40,TRUE,TRUE,Intermediate,Modeling,The Whole Family,Create a snowman out of multiple linked primitives.,50,,X Marks The Spot,FALSE,Joining and Linking (Parent/Child Relationships),http://www.youtube.com/watch?v=kq3Ja-nNv7Q&list=PL006307E237BB7FF6&index=11,Welcome,30,
41,TRUE,TRUE,Intermediate,Modeling,Big Rigs,Create a humanoid character and rig as described in the video.,100,,The Whole Family,FALSE,Bones and Rigging 101,http://www.youtube.com/watch?v=EcNGeIV0BsU&list=PL006307E237BB7FF6&index=13,Welcome,45,
42,TRUE,TRUE,Intermediate,Modeling,Put Your Character to Work,Create a player character with a complete rig that fits the Unity format.,100,,Big Rigs,TRUE,Creating Unity-Compatible Rigs,"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/7X2UqIZ1xKs"" frameborder=""0"" allowfullscreen></iframe>",Welcome,45,
43,TRUE,TRUE,Intermediate,Animation,Mecha-what?,Complete the Mecanim character animation tutorial.,200,,Put Your Character to Work,TRUE,Mecanim - Character Animation,http://video.unity3d.com/video/7362044/unity-40-mecanim-animation-tutorial,Welcome,120,
44,TRUE,TRUE,Intermediate,Programming,LERP,Fade a light’s brightness using Lerp().,50,Caught Up,,FALSE,Lerp(),"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/cD-mXwSCvWc"" frameborder=""0"" allowfullscreen></iframe>",Welcome,45,
45,TRUE,TRUE,Intermediate,Programming,Instantiate! Instantiate!,Create an object after a key press.,25,Caught Up,,FALSE,Instantiate(),"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/4rZAAHevq1s"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
46,TRUE,TRUE,Intermediate,Programming,Exterminate! Exterminate!,Destroy an object with a key press.,30,,Instantiate! Instantiate!,FALSE,Destroy,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/QxM0CfL3jQ8"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
47,TRUE,TRUE,Intermediate,Programming,Don’t Invoke My Wrath,Create a script that calls a method after a delay.,30,,Exterminate! Exterminate!,FALSE,Invoke,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/sLYcVjWG2O8"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
48,TRUE,TRUE,Intermediate,Programming,I’ve Become So Enum,Create a custom enumeration.,30,,Exterminate! Exterminate!,FALSE,Enumerations,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/DG-QjqSDR6s"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
49,TRUE,TRUE,Intermediate,Programming,Nothing But Class,"Create and implement a custom class for inventory management in your game. Make sure the class includes a constructor, as shown in the example.",60,,Exterminate! Exterminate!,TRUE,Classes and Constructors,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/ZlJ2iH1jsCo"" frameborder=""0"" allowfullscreen></iframe>",Welcome,45,
50,TRUE,TRUE,Intermediate,Programming,Wait… Okay Go,Create and implement a coroutine.,50,,Exterminate! Exterminate!,TRUE,Coroutines,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/bM3CXzj5xM4"" frameborder=""0"" allowfullscreen></iframe>",Welcome,30,
51,TRUE,TRUE,Intermediate,Unity UI,Layer Cake,Create a custom layer and place three objects on it.,25,Caught Up,,FALSE,Layers,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/HR-Tf_6uzwc"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
52,TRUE,TRUE,Intermediate,Unity UI,Pop Some Tags,"Create a custom tag, apply it to an object and use it to send a message to that object from a different object.",25,Caught Up,,FALSE,Tags,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/EA54-vfLkUI"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
53,TRUE,TRUE,Intermediate,Physics,Physic-Up,"Create a physic material test arena with multiple surfaces (ice, rubber, etc) and a character controller. Test the surfaces and describe the properties/differences between them. ",50,Caught Up,,TRUE,Physic Materials,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/SuUNnwswH94"" frameborder=""0"" allowfullscreen></iframe>",Welcome,60,
54,TRUE,TRUE,Intermediate,Physics,Crash Into Me,Use OnCollisionEnter() function to destroy a cube when another cube falls onto it.,50,Caught Up,,FALSE,OnCollisionEnter(),"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/QRp4V1JTZnM"" frameborder=""0"" allowfullscreen></iframe>",Welcome,60,
55,TRUE,TRUE,Intermediate,Physics,"Less QQ, More Pew Pew",Use a raycast to detect whether there’s anything in front of an object.,50,Caught Up,,FALSE,Raycasting,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/EINgIoTG8D4"" frameborder=""0"" allowfullscreen></iframe>",Welcome,60,
56,TRUE,TRUE,Intermediate,Lighting,What are Snickerdoodles?,Apply a three different cookies to lights and take screenshots. Give one example how you might use each one.,25,Caught Up,,FALSE,Cookies,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/u5DNkxkXBeI"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
57,TRUE,TRUE,Intermediate,Lighting,In Case of Emergency,Apply a three different flares to lights and take screenshots. Give one example how you might use each one.,25,Caught Up,,FALSE,Flares,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/u5DNkxkXBeI"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
58,TRUE,TRUE,Intermediate,Lighting,It’s Dark in Here,Experiment with the default available shaders and see what they do.,25,,In Case of Emergency,TRUE,Shaders,,Welcome,30,
59,TRUE,TRUE,Intermediate,Audio,Did You Hear That?,Attach a sound source to an object.,50,Caught Up,,FALSE,Sound Sources,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/1BMJFgK68IU"" frameborder=""0"" allowfullscreen></iframe>",Welcome,30,
60,TRUE,TRUE,Intermediate,Assets,Take It To Go,Build a package of assets with a theme and export it. Then test it by importing it into a new project.,30,Caught Up,,FALSE,Exporting Custom Packages,,Welcome,30,
61,TRUE,TRUE,Advanced,Specialization,Science!,"Create a quest chain, consisting of at least three quests, that shows players how to complete a task or build a project using Unity or a related application.",200,Team Lead,,TRUE,Create a Quest Chain in a Specified Area,,Welcome,120,Unlimited
,,,,,,,2940,,,,,,,1880,
